id,story_id,tag_id
197,105748,21940
198,105748,13566
199,105748,21849
200,105748,4324
201,105748,14920
202,105748,13513
203,105748,6978
204,105748,21942
205,105748,21944
206,105748,21943
207,105773,120
208,105773,396
209,105773,21949
210,105773,8115
211,105773,21950
212,105773,152
213,105731,12622
214,105731,384
215,105731,12614
216,105731,2316
217,105731,20218
218,105676,21793
219,105676,21939
220,105676,185
221,105676,19819
222,105676,2682
223,105670,21924
224,105670,3956
225,105670,21849
226,105670,21936
227,105670,18954
228,105670,21938
229,105670,150
230,105670,20104
231,105670,21937
232,105670,19721
233,105661,20929
234,105604,3229
235,105604,8528
236,105604,1429
237,105608,21924
238,105608,89
239,105623,20929
240,105613,20929
241,105590,21793
242,105590,3170
243,105590,21450
244,105163,21793
245,105163,14755
246,105163,416
247,105162,20848
248,105162,21915
249,105162,21849
250,105162,21916
251,105162,1807
252,105162,1103
253,105162,150
254,105162,9569
255,105162,21918
256,105162,1118
257,105162,21917
258,105165,2855
259,105165,13179
260,105165,21390
261,105165,13178
262,105165,21791
263,105165,21790
264,105165,21857
265,105165,21919
266,105165,2859
267,105165,3707
268,105439,573
269,105439,21091
270,105439,21925
271,105439,12125
272,105439,21849
273,105439,1378
274,105439,150
275,105439,21456
276,105439,8845
277,105439,10483
278,105439,2167
279,105571,21619
280,105571,4642
281,105571,550
282,105571,293
283,105569,21924
284,105569,21842
285,105569,21933
286,105569,21926
287,105569,21932
288,105569,1141
289,105569,19228
290,105569,1457
291,105468,120
292,105468,21924
293,105468,21926
294,105468,1141
295,105462,120
296,105462,21924
297,105475,120
298,105475,260
299,105406,573
300,105406,21925
301,105406,1935
302,105406,21456
303,105406,12217
304,105406,1248
305,105411,120
306,105411,21924
307,105411,21760
308,105411,18954
309,105374,573
310,105374,21456
311,105374,1248
312,105377,21924
313,105325,21924
314,105327,21924
315,105327,21922
316,105327,18954
317,105327,150
318,105327,21923
319,105327,1141
320,105282,21924
321,105178,21559
322,105174,21559
323,105191,3834
324,105191,21921
325,105191,4905
326,105191,15975
327,105124,4357
328,105124,1843
329,105124,21914
330,105075,1644
331,105075,4160
332,105075,21910
333,105075,21913
334,105075,7284
335,105075,21911
336,105075,21912
337,105076,304
338,105076,21178
339,105076,18567
340,105076,21760
341,105076,12004
342,105076,1868
343,105022,21747
344,105022,15470
345,105040,21909
346,105040,6782
347,105005,21897
348,105005,21903
349,105005,21901
350,105005,21899
351,105005,21857
352,105005,21902
353,105005,21898
354,105005,14891
355,105005,21896
356,105005,21900
357,104953,21857
358,104953,5793
359,104953,6782
360,104953,20742
361,104953,20688
362,104953,7287
363,104833,97
364,104833,20472
365,104904,10280
366,104904,9446
367,104904,7270
368,104904,21887
369,104904,724
370,104904,21886
371,104960,6581
372,104960,5334
373,104960,5335
374,104960,21849
375,104960,1711
376,104960,1895
377,104960,21889
378,104960,107
379,104960,1716
380,104960,21890
381,104960,4380
382,104963,9396
383,104963,21892
384,104963,21891
385,104963,3449
386,104963,21893
387,104963,1723
388,104963,1268
389,104963,3326
390,104969,20754
391,104969,21793
392,104969,1401
393,104969,21894
394,105002,413
395,105002,21849
396,105002,17309
397,105002,328
398,105002,4346
399,105002,150
400,105002,3692
401,105002,21895
402,105002,21355
403,105002,4352
404,105002,4457
405,105008,341
406,105008,7557
407,105008,21904
408,105008,21905
409,105008,21908
410,105008,21906
411,105008,21907
412,104946,21888
413,104946,21577
414,104923,304
415,104923,21359
416,104923,115
417,104706,21559
418,104882,168
419,104882,849
420,104882,8257
